data,بدون_تشكيل,tag,المحذوف,root,تصنيف_الجذر
اللَّهُ,,اسم,اللَّهُ,,
إِلَيْكَ,,اسم,اليك,,
,فان,حرف,فَإِنْ,,
تَوَلَّوْا,تولوا,,,تلو,جذر
فَاعْلَمْ,فاعلم,,,علم,جذر
,انما,حرف,أَنَّمَا,,
يُرِيدُ,يريد,,,,
اللَّهُ,,اسم,اللَّهُ,,
,ان,حرف,أَنْ,,
يُصِيبَهُمْ,يصيبهم,,,صيب,جذر
بِبَعْضِ,ببعض,,,بعض,جذر
ذُنُوبِهِمْ,ذنوبهم,,,نبه,جذر
,وان,حرف,وَإِنَّ,,
,None,اسم,كَثِيرًا,,
مِنَ,,اسم,من,,
النَّاسِ,الناس,اسم,النَّاسِ,,
لَفَاسِقُونَ,لفاسقون,,,فسق,جذر
أَفَحُكْمَ,افحكم,,,حكم,جذر
الْجَاهِلِيَّةِ,الجاهليه,اسم,الْجَاهِلِيَّةِ,جلي,جذر
يَبْغُونَ,يبغون,,,بغو,جذر
,ومن,حرف_جر,وَمَنْ,,
,احسن,اسم,أَحْسَنُ,,
مِنَ,,اسم,من,,
اللَّهِ,,اسم,اللَّهِ,,
,None,اسم,حُكْمًا,,
,None,اسم,لِقَوْمٍ,,
يُوقِنُونَ,يوقنون,,,قنن,جذر
,يا,حرف,يَا,,
,ايها,حرف,أَيُّهَا,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
,لا,حرف,لَا,,
تَتَّخِذُوا,تتخذوا,,,تخذ,جذر
الْيَهُودَ,اليهود,اسم,الْيَهُودَ,لهد,جذر
وَالنَّصَارَىٰ,والنصاري,,,نصر,جذر
أَوْلِيَاءَ,اولياء,,,ولي,جذر
بَعْضُهُمْ,بعضهم,,,بضم,جذر
أَوْلِيَاءُ,اولياء,,,ولي,جذر
,None,اسم,بَعْضٍ,,
,ومن,حرف_جر,وَمَنْ,,
,يتولهم,اسم,يَتَوَلَّهُمْ,,
,منكم,حرف_جر,مِنْكُمْ,,
,فانه,اسم,فَإِنَّهُ,,
,منهم,حرف_جر,مِنْهُمْ,,
,ان,اسم,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
,لا,حرف,لَا,,
,يهدي,فعل,,,
الْقَوْمَ,القوم,اسم,الْقَوْمَ,قوم,جذر
الظَّالِمِينَ,الظالمين,اسم,الظَّالِمِينَ,ظلم,جذر
فَتَرَى,فتري,,,فتر,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
,في,حرف_جر,فِي,,
,قلوبهم,اسم,قُلُوبِهِمْ,,
,None,اسم,مَرَضٌ,,
يُسَارِعُونَ,يسارعون,,,عون,جذر
,فيهم,حرف_جر,فِيهِمْ,,
,يقولون,اسم,يَقُولُونَ,,
نَخْشَىٰ,نخشي,,,نخش,جذر
,ان,حرف,أَنْ,,
تُصِيبَنَا,تصيبنا,,,تبن,جذر
,None,اسم,دَائِرَةٌ,,
فَعَسَى,فعسي,,,,
اللَّهُ,,اسم,اللَّهُ,,
,ان,حرف,أَنْ,,
يَأْتِيَ,ياتي,,,,
بِالْفَتْحِ,بالفتح,,,بلت,جذر
,او,حرف,أَوْ,,
,None,اسم,أَمْرٍ,,
,,فعل,مِنْ,,
عِنْدِهِ,عنده,,,عند,جذر
فَيُصْبِحُوا,فيصبحوا,,,صبح,جذر
,علي,حرف_جر,عَلَىٰ,,
مَا,,اسم,ما,,
أَسَرُّوا,اسروا,,,سرو,جذر
,في,حرف_جر,فِي,,
,انفسهم,اسم,أَنْفُسِهِمْ,,
نَادِمِينَ,نادمين,,,مين,جذر
وَيَقُولُ,ويقول,,,قول,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
أَهَٰؤُلَاءِ,اهولاء,,,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
أَقْسَمُوا,اقسموا,,,قسم,جذر
بِاللَّهِ,بالله,,,بلل,جذر
جَهْدَ,جهد,,,جهد,جذر
أَيْمَانِهِمْ,ايمانهم,,,نهم,جذر
إِنَّهُمْ,انهم,,,نهم,جذر
لَمَعَكُمْ,لمعكم,,,عكم,جذر
حَبِطَتْ,حبطت,,,حبط,جذر
أَعْمَالُهُمْ,اعمالهم,,,علم,جذر
فَأَصْبَحُوا,فاصبحوا,,,صبح,جذر
خَاسِرِينَ,خاسرين,,,خسر,جذر
,يا,حرف,يَا,,
,ايها,حرف,أَيُّهَا,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
,,فعل,مَنْ,,
يَرْتَدَّ,يرتد,,,,
,منكم,حرف_جر,مِنْكُمْ,,
,عن,اسم,عَنْ,,
دِينِهِ,دينه,,,دين,جذر
فَسَوْفَ,فسوف,,,فسو,جذر
,ياتي,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
,None,اسم,بِقَوْمٍ,,
يُحِبُّهُمْ,يحبهم,,,يهم,جذر
وَيُحِبُّونَهُ,ويحبونه,,,بون,جذر
,None,اسم,أَذِلَّةٍ,,
,علي,حرف_جر,عَلَى,,
,المومنين,اسم,الْمُؤْمِنِينَ,,
,None,اسم,أَعِزَّةٍ,,
,علي,حرف_جر,عَلَى,,
,الكافرين,اسم,الْكَافِرِينَ,,
يُجَاهِدُونَ,يجاهدون,,,جدو,جذر
,في,حرف_جر,فِي,,
,سبيل,اسم,سَبِيلِ,,
اللَّهِ,,اسم,اللَّهِ,,
,ولا,حرف,وَلَا,,
يَخَافُونَ,يخافون,,,خفو,جذر
لَوْمَةَ,لومه,,,لوم,جذر
,None,اسم,لَائِمٍ,,
ذَٰلِكَ,,اسم,ذلك,,
فَضْلُ,,اسم,فضل,فضل,جذر
اللَّهِ,,اسم,اللَّهِ,,
يُؤْتِيهِ,يوتيه,,,تيه,جذر
,,فعل,مَنْ,,
يَشَاءُ,يشاء,,,,
وَاللَّهُ,والله,,,وله,جذر
,None,اسم,وَاسِعٌ,,
,None,اسم,عَلِيمٌ,,
,انما,حرف,إِنَّمَا,,
وَلِيُّكُمُ,وليكم,,,لكم,جذر
اللَّهُ,,اسم,اللَّهُ,,
وَرَسُولُهُ,ورسوله,,,ورس,جذر
وَالَّذِينَ,,اسم,والذين,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
يُقِيمُونَ,يقيمون,,,قمن,جذر
الصَّلَاةَ,,اسم,الصَّلَاةَ,,
وَيُؤْتُونَ,ويوتون,,,وتن,جذر
الزَّكَاةَ,,اسم,الزَّكَاةَ,,
,وهم,حرف,وَهُمْ,,
رَاكِعُونَ,راكعون,,,عون,جذر
,ومن,حرف_جر,وَمَنْ,,
,يتول,اسم,يَتَوَلَّ,,
اللَّهَ,,اسم,اللَّهَ,,
وَرَسُولَهُ,ورسوله,,,ورس,جذر
وَالَّذِينَ,,اسم,والذين,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
,فان,حرف,فَإِنَّ,,
حِزْبَ,حزب,,,حزب,جذر
اللَّهِ,,اسم,اللَّهِ,,
هُمُ,,اسم,هم,,
الْغَالِبُونَ,الغالبون,اسم,الْغَالِبُونَ,بون,جذر
,يا,حرف,يَا,,
,ايها,حرف,أَيُّهَا,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
,لا,حرف,لَا,,
تَتَّخِذُوا,تتخذوا,,,تخذ,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
اتَّخَذُوا,اتخذوا,,,تخذ,جذر
دِينَكُمْ,دينكم,,,دكم,جذر
,None,اسم,هُزُوًا,,
,None,اسم,وَلَعِبًا,,
مِنَ,,اسم,من,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
أُوتُوا,اوتوا,,,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ,كتب,جذر
,,فعل,مِنْ,,
قَبْلِكُمْ,قبلكم,,,بكم,جذر
وَالْكُفَّارَ,والكفار,,,كفر,جذر
أَوْلِيَاءَ,اولياء,,,ولي,جذر
وَاتَّقُوا,واتقوا,,,,
اللَّهَ,,اسم,اللَّهَ,,
,ان,حرف,إِنْ,,
كُنْتُمْ,كنتم,,,كتم,جذر
مُؤْمِنِينَ,مومنين,,,منن,جذر
وَإِذَا,واذا,,,,
نَادَيْتُمْ,ناديتم,,,ندم,جذر
,الي,حرف_جر,إِلَى,,
الصَّلَاةِ,,اسم,الصَّلَاةِ,,
اتَّخَذُوهَا,اتخذوها,,,تخذ,جذر
,None,اسم,هُزُوًا,,
,None,اسم,وَلَعِبًا,,
ذَٰلِكَ,,اسم,ذلك,,
بِأَنَّهُمْ,بانهم,,,نهم,جذر
,None,اسم,قَوْمٌ,,
,لا,حرف,لَا,,
يَعْقِلُونَ,يعقلون,,,عقل,جذر
,قل,فعل,قُلْ,,
,يا,حرف,يَا,,
أَهْلَ,اهل,,,,
الْكِتَابِ,الكتاب,اسم,الْكِتَابِ,كتب,جذر
,,فعل,هَلْ,,
تَنْقِمُونَ,تنقمون,,,تنم,جذر
,منا,حرف_جر,مِنَّا,,
,الا,اسم,إِلَّا,,
,ان,حرف,أَنْ,,
آمَنَّا,امنا,,,,
بِاللَّهِ,بالله,,,بلل,جذر
,وما,حرف,وَمَا,,
أُنْزِلَ,انزل,,,نزل,جذر
,الينا,حرف_جر,إِلَيْنَا,,
,وما,اسم,وَمَا,,
أُنْزِلَ,انزل,,,نزل,جذر
,,فعل,مِنْ,,
,قبل,حرف,قَبْلُ,,
,وان,حرف,وَأَنَّ,,
أَكْثَرَكُمْ,اكثركم,,,ثرم,جذر
فَاسِقُونَ,فاسقون,,,فسق,جذر
,قل,فعل,قُلْ,,
,,فعل,هَلْ,,
أُنَبِّئُكُمْ,انبيكم,,,بكم,جذر
,None,اسم,بِشَرٍّ,,
,,فعل,مِنْ,,
ذَٰلِكَ,,اسم,ذلك,,
,None,اسم,مَثُوبَةً,,
عِنْدَ,,اسم,عند,عند,جذر
اللَّهِ,,اسم,اللَّهِ,,
,,فعل,مَنْ,,
لَعَنَهُ,لعنه,,,لعن,جذر
اللَّهُ,,اسم,اللَّهُ,,
وَغَضِبَ,وغضب,,,غضب,جذر
,عليه,حرف_جر,عَلَيْهِ,,
,وجعل,اسم,وَجَعَلَ,,
مِنْهُمُ,منهم,,,نهم,جذر
الْقِرَدَةَ,القرده,اسم,الْقِرَدَةَ,قرد,جذر
وَالْخَنَازِيرَ,والخنازير,,,لخن,جذر
وَعَبَدَ,وعبد,,,عبد,جذر
الطَّاغُوتَ,الطاغوت,اسم,الطَّاغُوتَ,طغو,جذر
أُولَٰئِكَ,,اسم,اوليك,,
,None,اسم,شَرٌّ,,
,None,اسم,مَكَانًا,,
وَأَضَلُّ,واضل,,,,
,عن,حرف_جر,عَنْ,,
,سواء,اسم,سَوَاءِ,,
السَّبِيلِ,السبيل,اسم,السَّبِيلِ,لبي,جذر
وَإِذَا,واذا,,,,
جَاءُوكُمْ,جاءوكم,,,ءوم,جذر
قَالُوا,قالوا,,,قلو,جذر
آمَنَّا,امنا,,,,
وَقَدْ,وقد,,,وقد,جذر
دَخَلُوا,دخلوا,,,خلو,جذر
بِالْكُفْرِ,بالكفر,,,بكر,جذر
,وهم,حرف,وَهُمْ,,
,قد,حرف,قَدْ,,
خَرَجُوا,خرجوا,,,خرج,جذر
,به,حرف_جر,بِهِ,,
,والله,اسم,وَاللَّهُ,,
أَعْلَمُ,اعلم,,,علم,جذر
,بما,حرف_جر,بِمَا,,
,كانوا,اسم,كَانُوا,,
يَكْتُمُونَ,يكتمون,,,كتم,جذر
وَتَرَىٰ,وتري,,,وتر,جذر
,None,اسم,كَثِيرًا,,
,منهم,حرف_جر,مِنْهُمْ,,
,يسارعون,اسم,يُسَارِعُونَ,,
,في,حرف_جر,فِي,,
,الاثم,اسم,الْإِثْمِ,,
وَالْعُدْوَانِ,والعدوان,,,عدن,جذر
وَأَكْلِهِمُ,واكلهم,,,كلم,جذر
السُّحْتَ,السحت,اسم,السُّحْتَ,لحت,جذر
لَبِئْسَ,لبيس,,,لبس,جذر
مَا,,اسم,ما,,
كَانُوا,كانوا,,,كنو,جذر
يَعْمَلُونَ,يعملون,,,علن,جذر
,لولا,حرف_جر,لَوْلَا,,
,ينهاهم,اسم,يَنْهَاهُمُ,,
الرَّبَّانِيُّونَ,الربانيون,اسم,الرَّبَّانِيُّونَ,بنن,جذر
وَالْأَحْبَارُ,والاحبار,,,حبر,جذر
,عن,حرف_جر,عَنْ,,
,قولهم,اسم,قَوْلِهِمُ,,
الْإِثْمَ,الاثم,اسم,الْإِثْمَ,لثم,جذر
وَأَكْلِهِمُ,واكلهم,,,كلم,جذر
السُّحْتَ,السحت,اسم,السُّحْتَ,لحت,جذر
لَبِئْسَ,لبيس,,,لبس,جذر
مَا,,اسم,ما,,
كَانُوا,كانوا,,,كنو,جذر
يَصْنَعُونَ,يصنعون,,,صعو,جذر
وَقَالَتِ,وقالت,,,قلت,جذر
الْيَهُودُ,اليهود,اسم,الْيَهُودُ,لهد,جذر
يَدُ,يد,,,,
اللَّهِ,,اسم,اللَّهِ,,
,None,اسم,مَغْلُولَةٌ,,
غُلَّتْ,غلت,,,غلت,جذر
أَيْدِيهِمْ,ايديهم,,,يدي,جذر
وَلُعِنُوا,ولعنوا,,,عنو,جذر
,بما,حرف_جر,بِمَا,,
,قالوا,اسم,قَالُوا,,
,بل,حرف,بَلْ,,
يَدَاهُ,يداه,,,,
مَبْسُوطَتَانِ,مبسوطتان,,,بسط,جذر
يُنْفِقُ,ينفق,,,نفق,جذر
كَيْفَ,,اسم,كيف,كيف,جذر
يَشَاءُ,يشاء,,,,
وَلَيَزِيدَنَّ,وليزيدن,,,لدن,جذر
,None,اسم,كَثِيرًا,,
,منهم,حرف_جر,مِنْهُمْ,,
مَا,,اسم,ما,,
أُنْزِلَ,انزل,,,نزل,جذر
إِلَيْكَ,,اسم,اليك,,
,,فعل,مِنْ,,
رَبِّكَ,ربك,,,ربك,جذر
,None,اسم,طُغْيَانًا,,
,None,اسم,وَكُفْرًا,,
وَأَلْقَيْنَا,والقينا,,,قين,جذر
بَيْنَهُمُ,بينهم,,,بين,جذر
الْعَدَاوَةَ,العداوه,اسم,الْعَدَاوَةَ,عدو,جذر
وَالْبَغْضَاءَ,والبغضاء,,,بغض,جذر
إِلَىٰ,الي,,,,
يَوْمِ,يوم,,,,
الْقِيَامَةِ,القيامه,اسم,الْقِيَامَةِ,لقم,جذر
كُلَّمَا,كلما,,,كلم,جذر
أَوْقَدُوا,اوقدوا,,,قدو,جذر
,None,اسم,نَارًا,,
لِلْحَرْبِ,للحرب,,,حرب,جذر
أَطْفَأَهَا,اطفاها,,,,
اللَّهُ,,اسم,اللَّهُ,,
وَيَسْعَوْنَ,ويسعون,,,عون,جذر
,في,حرف_جر,فِي,,
,الارض,اسم,الْأَرْضِ,,
,None,اسم,فَسَادًا,,
وَاللَّهُ,والله,,,وله,جذر
,لا,حرف,لَا,,
يُحِبُّ,يحب,,,,
الْمُفْسِدِينَ,المفسدين,اسم,الْمُفْسِدِينَ,فدي,جذر
,ولو,حرف,وَلَوْ,,
,ان,حرف,أَنَّ,,
أَهْلَ,اهل,,,,
الْكِتَابِ,الكتاب,اسم,الْكِتَابِ,كتب,جذر
آمَنُوا,امنوا,,,منو,جذر
وَاتَّقَوْا,واتقوا,,,,
لَكَفَّرْنَا,لكفرنا,,,كفر,جذر
,عنهم,حرف_جر,عَنْهُمْ,,
,سيياتهم,اسم,سَيِّئَاتِهِمْ,,
وَلَأَدْخَلْنَاهُمْ,ولادخلناهم,,,لخم,جذر
جَنَّاتِ,جنات,,,,
النَّعِيمِ,النعيم,اسم,النَّعِيمِ,عيم,جذر
,ولو,حرف,وَلَوْ,,
أَنَّهُمْ,انهم,,,نهم,جذر
أَقَامُوا,اقاموا,,,قمو,جذر
التَّوْرَاةَ,التوراه,اسم,التَّوْرَاةَ,تور,جذر
وَالْإِنْجِيلَ,والانجيل,,,نجل,جذر
,وما,حرف,وَمَا,,
أُنْزِلَ,انزل,,,نزل,جذر
إِلَيْهِمْ,اليهم,,,لهم,جذر
,,فعل,مِنْ,,
رَبِّهِمْ,ربهم,,,,
لَأَكَلُوا,لاكلوا,,,كلو,جذر
,,فعل,مِنْ,,
فَوْقِهِمْ,فوقهم,,,فقم,جذر
,ومن,حرف_جر,وَمِنْ,,
تَحْتِ,,اسم,تحت,,
أَرْجُلِهِمْ,ارجلهم,,,جلم,جذر
,منهم,حرف_جر,مِنْهُمْ,,
,None,اسم,أُمَّةٌ,,
,None,اسم,مُقْتَصِدَةٌ,,
,None,اسم,وَكَثِيرٌ,,
,منهم,حرف_جر,مِنْهُمْ,,
,ساء,اسم,سَاءَ,,
مَا,,اسم,ما,,
يَعْمَلُونَ,يعملون,,,علن,جذر
,يا,حرف,يَا,,
,ايها,حرف,أَيُّهَا,,
الرَّسُولُ,الرسول,اسم,الرَّسُولُ,رسل,جذر
بَلِّغْ,بلغ,,,بلغ,جذر
مَا,,اسم,ما,,
أُنْزِلَ,انزل,,,نزل,جذر
إِلَيْكَ,,اسم,اليك,,
,,فعل,مِنْ,,
رَبِّكَ,ربك,,,ربك,جذر
,وان,حرف,وَإِنْ,,
,,فعل,لَمْ,,
تَفْعَلْ,تفعل,,,تعل,جذر
,فما,حرف,فَمَا,,
بَلَّغْتَ,بلغت,,,بغت,جذر
رِسَالَتَهُ,رسالته,,,رسل,جذر
وَاللَّهُ,والله,,,وله,جذر
يَعْصِمُكَ,يعصمك,,,عصم,جذر
مِنَ,,اسم,من,,
النَّاسِ,الناس,اسم,النَّاسِ,,
,ان,حرف,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
,لا,حرف,لَا,,
,يهدي,فعل,,,
الْقَوْمَ,القوم,اسم,الْقَوْمَ,قوم,جذر
الْكَافِرِينَ,الكافرين,اسم,الْكَافِرِينَ,فري,جذر
,قل,فعل,قُلْ,,
,يا,حرف,يَا,,
أَهْلَ,اهل,,,,
الْكِتَابِ,الكتاب,اسم,الْكِتَابِ,كتب,جذر
لَسْتُمْ,لستم,,,لتم,جذر
,علي,حرف_جر,عَلَىٰ,,
,None,اسم,شَيْءٍ,,
,حتي,حرف_جر,حَتَّىٰ,,
,تقيموا,اسم,تُقِيمُوا,,
التَّوْرَاةَ,التوراه,اسم,التَّوْرَاةَ,تور,جذر
وَالْإِنْجِيلَ,والانجيل,,,نجل,جذر
,وما,حرف,وَمَا,,
أُنْزِلَ,انزل,,,نزل,جذر
,اليكم,حرف_جر,إِلَيْكُمْ,,
,,فعل,مِنْ,,
رَبِّكُمْ,ربكم,,,بكم,جذر
وَلَيَزِيدَنَّ,وليزيدن,,,لدن,جذر
,None,اسم,كَثِيرًا,,
,منهم,حرف_جر,مِنْهُمْ,,
مَا,,اسم,ما,,
أُنْزِلَ,انزل,,,نزل,جذر
إِلَيْكَ,,اسم,اليك,,
,,فعل,مِنْ,,
رَبِّكَ,ربك,,,ربك,جذر
,None,اسم,طُغْيَانًا,,
,None,اسم,وَكُفْرًا,,
,فلا,حرف,فَلَا,,
تَأْسَ,تاس,,,,
,علي,حرف_جر,عَلَى,,
,القوم,اسم,الْقَوْمِ,,
الْكَافِرِينَ,الكافرين,اسم,الْكَافِرِينَ,فري,جذر
,ان,حرف,إِنَّ,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
آمَنُوا,امنوا,,,منو,جذر
وَالَّذِينَ,,اسم,والذين,لذي,جذر
هَادُوا,هادوا,,,,
وَالصَّابِئُونَ,والصابيون,,,بون,جذر
وَالنَّصَارَىٰ,والنصاري,,,نصر,جذر
,,فعل,مَنْ,,
آمَنَ,امن,,,,
بِاللَّهِ,بالله,,,بلل,جذر
وَالْيَوْمِ,واليوم,,,لوم,جذر
الْآخِرِ,,اسم,الْآخِرِ,,
وَعَمِلَ,وعمل,,,عمل,جذر
,None,اسم,صَالِحًا,,
,فلا,حرف,فَلَا,,
,None,اسم,خَوْفٌ,,
,عليهم,حرف_جر,عَلَيْهِمْ,,
,ولا,اسم,وَلَا,,
هُمْ,,اسم,هم,,
يَحْزَنُونَ,يحزنون,,,حزن,جذر
,لقد,حرف,لَقَدْ,,
أَخَذْنَا,اخذنا,,,,
مِيثَاقَ,ميثاق,,,ميث,جذر
بَنِي,بني,,,بني,جذر
إِسْرَائِيلَ,,اسم,اسراييل,ريل,جذر
وَأَرْسَلْنَا,وارسلنا,,,ورس,جذر
إِلَيْهِمْ,اليهم,,,لهم,جذر
,None,اسم,رُسُلًا,,
كُلَّمَا,كلما,,,كلم,جذر
جَاءَهُمْ,جاءهم,,,جهم,جذر
,None,اسم,رَسُولٌ,,
,بما,حرف_جر,بِمَا,,
,لا,اسم,لَا,,
تَهْوَىٰ,تهوي,,,تهو,جذر
أَنْفُسُهُمْ,انفسهم,,,فهم,جذر
,None,اسم,فَرِيقًا,,
كَذَّبُوا,كذبوا,,,كبو,جذر
,None,اسم,وَفَرِيقًا,,
يَقْتُلُونَ,يقتلون,,,تلو,جذر
وَحَسِبُوا,وحسبوا,,,حبو,جذر
أَلَّا,الا,,,,
تَكُونَ,تكون,,,كون,جذر
,None,اسم,فِتْنَةٌ,,
فَعَمُوا,فعموا,,,فعم,جذر
وَصَمُّوا,وصموا,,,وصم,جذر
ثُمَّ,,اسم,ثم,,
,تاب,فعل,,,
اللَّهُ,,اسم,اللَّهُ,,
,عليهم,حرف_جر,عَلَيْهِمْ,,
ثُمَّ,,اسم,ثم,,
عَمُوا,عموا,,,,
وَصَمُّوا,وصموا,,,وصم,جذر
,None,اسم,كَثِيرٌ,,
,منهم,حرف_جر,مِنْهُمْ,,
,والله,اسم,وَاللَّهُ,,
,None,اسم,بَصِيرٌ,,
,بما,حرف_جر,بِمَا,,
,يعملون,اسم,يَعْمَلُونَ,,
,لقد,حرف,لَقَدْ,,
,كفر,فعل,,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
قَالُوا,قالوا,,,قلو,جذر
,ان,حرف,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
هُوَ,,اسم,هو,,
الْمَسِيحُ,المسيح,اسم,الْمَسِيحُ,لمح,جذر
ابْنُ,ابن,,,,
مَرْيَمَ,,اسم,مريم,مري,جذر
وَقَالَ,وقال,,,وقل,جذر
الْمَسِيحُ,المسيح,اسم,الْمَسِيحُ,لمح,جذر
,يا,حرف,يَا,,
بَنِي,بني,,,بني,جذر
إِسْرَائِيلَ,,اسم,اسراييل,ريل,جذر
اعْبُدُوا,اعبدوا,,,بدو,جذر
اللَّهَ,,اسم,اللَّهَ,,
رَبِّي,ربي,,,,
وَرَبَّكُمْ,وربكم,,,بكم,جذر
إِنَّهُ,انه,,,,
,,فعل,مَنْ,,
يُشْرِكْ,يشرك,,,شرك,جذر
بِاللَّهِ,بالله,,,بلل,جذر
فَقَدْ,فقد,,,فقد,جذر
حَرَّمَ,حرم,,,حرم,جذر
اللَّهُ,,اسم,اللَّهُ,,
,عليه,حرف_جر,عَلَيْهِ,,
,الجنه,اسم,الْجَنَّةَ,,
وَمَأْوَاهُ,وماواه,,,موه,جذر
النَّارُ,النار,اسم,النَّارُ,,
,وما,حرف,وَمَا,,
لِلظَّالِمِينَ,للظالمين,,,ظلم,جذر
,,فعل,مِنْ,,
,None,اسم,أَنْصَارٍ,,
,لقد,حرف,لَقَدْ,,
,كفر,فعل,,,
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
قَالُوا,قالوا,,,قلو,جذر
,ان,حرف,إِنَّ,,
اللَّهَ,,اسم,اللَّهَ,,
ثَالِثُ,ثالث,,,ثلث,جذر
,None,اسم,ثَلَاثَةٍ,,
,وما,حرف,وَمَا,,
,,فعل,مِنْ,,
,None,اسم,إِلَٰهٍ,,
,الا,حرف,إِلَّا,,
,None,اسم,إِلَٰهٌ,,
,None,اسم,وَاحِدٌ,,
,وان,حرف,وَإِنْ,,
,,فعل,لَمْ,,
يَنْتَهُوا,ينتهوا,,,تهو,جذر
,عما,حرف_جر,عَمَّا,,
,يقولون,اسم,يَقُولُونَ,,
لَيَمَسَّنَّ,ليمسن,,,لسن,جذر
الَّذِينَ,,اسم,الَّذِينَ,لذي,جذر
كَفَرُوا,كفروا,,,كرو,جذر
,منهم,حرف_جر,مِنْهُمْ,,
,None,اسم,عَذَابٌ,,
,None,اسم,أَلِيمٌ,,
أَفَلَا,افلا,,,,
يَتُوبُونَ,يتوبون,,,بون,جذر
,الي,حرف_جر,إِلَى,,
اللَّهِ,,اسم,اللَّهِ,,
وَيَسْتَغْفِرُونَهُ,ويستغفرونه,,,تره,جذر
وَاللَّهُ,والله,,,وله,جذر
,None,اسم,غَفُورٌ,,
,None,اسم,رَحِيمٌ,,
مَا,,اسم,ما,,
الْمَسِيحُ,المسيح,اسم,الْمَسِيحُ,لمح,جذر
ابْنُ,ابن,,,,
مَرْيَمَ,,اسم,مريم,مري,جذر
,الا,حرف,إِلَّا,,
,None,اسم,رَسُولٌ,,
,قد,حرف,قَدْ,,
خَلَتْ,خلت,,,,
,,فعل,مِنْ,,
قَبْلِهِ,قبله,,,بله,جذر
الرُّسُلُ,الرسل,اسم,الرُّسُلُ,رسل,جذر
وَأُمُّهُ,وامه,,,ومه,جذر
,None,اسم,صِدِّيقَةٌ,,
كَانَا,كانا,,,,
يَأْكُلَانِ,ياكلان,,,,
الطَّعَامَ,الطعام,اسم,الطَّعَامَ,طعم,جذر
,انظر,فعل,انْظُرْ,,
كَيْفَ,,اسم,كيف,كيف,جذر
نُبَيِّنُ,نبين,,,بين,جذر
لَهُمُ,لهم,,,لهم,جذر
الْآيَاتِ,الايات,اسم,الْآيَاتِ,ليت,جذر
ثُمَّ,,اسم,ثم,,
,انظر,فعل,انْظُرْ,,
أَنَّىٰ,,اسم,اني,,
يُؤْفَكُونَ,يوفكون,,,فكن,جذر
,قل,فعل,قُلْ,,
أَتَعْبُدُونَ,اتعبدون,,,بدن,جذر
,,فعل,مِنْ,,
دُونِ,,اسم,دون,دون,جذر
اللَّهِ,,اسم,اللَّهِ,,
مَا,,اسم,ما,,
,لا,حرف,لَا,,
يَمْلِكُ,يملك,,,ملك,جذر
,لكم,حرف_جر,لَكُمْ,,
,None,اسم,ضَرًّا,,
,ولا,حرف,وَلَا,,
,None,اسم,نَفْعًا,,
وَاللَّهُ,والله,,,وله,جذر
هُوَ,,اسم,هو,,
السَّمِيعُ,,اسم,السَّمِيعُ,لسع,جذر
الْعَلِيمُ,,اسم,الْعَلِيمُ,علم,جذر
,قل,فعل,قُلْ,,
,يا,حرف,يَا,,
أَهْلَ,اهل,,,,
الْكِتَابِ,الكتاب,اسم,الْكِتَابِ,كتب,جذر
,لا,حرف,لَا,,
تَغْلُوا,تغلوا,,,تغو,جذر
,في,حرف_جر,فِي,,
,دينكم,اسم,دِينِكُمْ,,
,غير,حرف,غَيْرَ,,
الْحَقِّ,,اسم,الْحَقِّ,لحق,جذر
,ولا,حرف,وَلَا,,
تَتَّبِعُوا,تتبعوا,,,بعو,جذر
أَهْوَاءَ,اهواء,,,هوء,جذر
,None,اسم,قَوْمٍ,,
,قد,حرف,قَدْ,,
ضَلُّوا,ضلوا,,,,
,,فعل,مِنْ,,
,قبل,حرف,قَبْلُ,,
وَأَضَلُّوا,واضلوا,,,,
,None,اسم,كَثِيرًا,,
وَضَلُّوا,وضلوا,,,,
,عن,حرف_جر,عَنْ,,
,سواء,اسم,سَوَاءِ,,
السَّبِيلِ,السبيل,اسم,السَّبِيلِ,لبي,جذر
لُعِنَ,لعن,,,لعن,جذر
