data,بدون_تشكيل,tag,المحذوف,pattern,word_type,pattern_score
,وهم,حرف,وَهُمْ,,,0.0
يَسْجُدُونَ,يسجدون,,,استفعل,فعل,1.0
يُؤْمِنُونَ,يومنون,,,يفعل,فعل,1.0
بِاللَّهِ,بالله,,,لفظ_الجلالة,اسم,1.0
وَالْيَوْمِ,واليوم,,,فعل,فعل,1.0
الْآخِرِ,,اسم,الْآخِرِ,,,0.0
وَيَأْمُرُونَ,ويامرون,,,,,0.0
بِالْمَعْرُوفِ,بالمعروف,,,,,0.0
وَيَنْهَوْنَ,وينهون,,,,,0.0
,عن,حرف_جر,عَنِ,,,0.0
,المنكر,اسم,الْمُنْكَرِ,,,0.0
وَيُسَارِعُونَ,ويسارعون,,,,,0.0
,في,حرف_جر,فِي,,,0.0
,الخيرات,اسم,الْخَيْرَاتِ,,,0.0
وَأُولَٰئِكَ,,اسم,واوليك,فعول,اسم,1.1
مِنَ,,اسم,من,مفعل,اسم,1.1
الصَّالِحِينَ,الصالحين,اسم,الصَّالِحِينَ,افتعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
يَفْعَلُوا,يفعلوا,,,تَفَعَّل,فعل,1.0
,,فعل,مِنْ,,,0.0
,None,اسم,خَيْرٍ,,,0.0
,فلن,حرف,فَلَنْ,,,0.0
يُكْفَرُوهُ,يكفروه,,,انفعل,فعل,1.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
,None,اسم,عَلِيمٌ,,,0.0
بِالْمُتَّقِينَ,بالمتقين,,,فعل,فعل,1.0
,ان,حرف,إِنَّ,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
كَفَرُوا,كفروا,,,مفعول,اسم,1.1
,لن,حرف,لَنْ,,,0.0
تُغْنِيَ,تغني,,,تَفَعَّل,فعل,1.0
,عنهم,حرف_جر,عَنْهُمْ,,,0.0
,اموالهم,اسم,أَمْوَالُهُمْ,,,0.0
,ولا,حرف,وَلَا,,,0.0
أَوْلَادُهُمْ,اولادهم,,,فعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
,None,اسم,شَيْئًا,,,0.0
وَأُولَٰئِكَ,,اسم,واوليك,فعول,اسم,1.1
أَصْحَابُ,اصحاب,,,فعلان,اسم,1.0
النَّارِ,النار,اسم,النَّارِ,,,0.0
هُمْ,,اسم,هم,,,0.0
,فيها,حرف_جر,فِيهَا,,,0.0
,خالدون,اسم,خَالِدُونَ,,,0.0
مَثَلُ,مثل,,,فعل,فعل,1.0
مَا,,اسم,ما,مفعل,اسم,1.1
يُنْفِقُونَ,ينفقون,,,انفعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
هَٰذِهِ,,اسم,هذه,,,0.0
الْحَيَاةِ,الحياه,اسم,الْحَيَاةِ,افتعال,اسم,0.6666666666666666
الدُّنْيَا,الدنيا,اسم,الدُّنْيَا,استفعال,اسم,0.6666666666666666
كَمَثَلِ,كمثل,,,فاعَل,فعل,1.0
,None,اسم,رِيحٍ,,,0.0
,فيها,حرف_جر,فِيهَا,,,0.0
,None,اسم,صِرٌّ,,,0.0
أَصَابَتْ,اصابت,,,مفاعل,اسم,1.0
حَرْثَ,حرث,,,,,0.0
,None,اسم,قَوْمٍ,,,0.0
ظَلَمُوا,ظلموا,,,,,0.0
أَنْفُسَهُمْ,انفسهم,,,انفعل,فعل,1.0
فَأَهْلَكَتْهُ,فاهلكته,,,فاعَل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
ظَلَمَهُمُ,ظلمهم,,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,ولكن,حرف,وَلَٰكِنْ,,,0.0
أَنْفُسَهُمْ,انفسهم,,,انفعل,فعل,1.0
يَظْلِمُونَ,يظلمون,,,فعل,فعل,1.0
,يا,حرف,يَا,,,0.0
,ايها,حرف,أَيُّهَا,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
,لا,حرف,لَا,,,0.0
تَتَّخِذُوا,تتخذوا,,,تَفَعَّل,فعل,1.0
,None,اسم,بِطَانَةً,,,0.0
,,فعل,مِنْ,,,0.0
دُونِكُمْ,دونكم,,,,,0.0
,لا,حرف,لَا,,,0.0
يَأْلُونَكُمْ,يالونكم,,,فعل,فعل,1.0
,None,اسم,خَبَالًا,,,0.0
وَدُّوا,ودوا,,,فعول,اسم,1.1
مَا,,اسم,ما,مفعل,اسم,1.1
عَنِتُّمْ,عنتم,,,,,0.0
,قد,حرف,قَدْ,,,0.0
بَدَتِ,بدت,,,افتعل,فعل,1.0
الْبَغْضَاءُ,البغضاء,اسم,الْبَغْضَاءُ,استفعال,اسم,0.6666666666666666
,,فعل,مِنْ,,,0.0
أَفْوَاهِهِمْ,افواههم,,,تَفَعَّل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
تُخْفِي,تخفي,,,انفعل,فعل,1.0
صُدُورُهُمْ,صدورهم,,,فعول,اسم,1.1
أَكْبَرُ,اكبر,,,أفعال,اسم,1.0
,قد,حرف,قَدْ,,,0.0
بَيَّنَّا,بينا,,,أفعال,اسم,1.0
لَكُمُ,لكم,,,,,0.0
الْآيَاتِ,الايات,اسم,الْآيَاتِ,,,0.0
,ان,حرف,إِنْ,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
تَعْقِلُونَ,تعقلون,,,فعيل,اسم,1.0
هَا,ها,,,فاعَل,فعل,1.0
أَنْتُمْ,,اسم,انتم,انفعل,فعل,1.0
أُولَاءِ,اولاء,,,فعل,فعل,1.0
تُحِبُّونَهُمْ,تحبونهم,,,تَفَعَّل,فعل,1.0
,ولا,حرف,وَلَا,,,0.0
يُحِبُّونَكُمْ,يحبونكم,,,يفعل,فعل,1.0
وَتُؤْمِنُونَ,وتومنون,,,فعلان,اسم,1.0
بِالْكِتَابِ,بالكتاب,,,فعل,فعل,1.0
كُلِّهِ,كله,,,,,0.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
لَقُوكُمْ,لقوكم,,,فعول,اسم,0.6
قَالُوا,قالوا,,,فعل,فعل,1.0
آمَنَّا,امنا,,,أفعال,اسم,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
خَلَوْا,خلوا,,,فعول,اسم,0.6
عَضُّوا,عضوا,,,فعول,اسم,0.6
عَلَيْكُمُ,عليكم,,,,,0.0
الْأَنَامِلَ,الانامل,اسم,الْأَنَامِلَ,افتعال,اسم,0.6666666666666666
مِنَ,,اسم,من,مفعل,اسم,1.1
الْغَيْظِ,الغيظ,اسم,الْغَيْظِ,,,0.0
,قل,فعل,قُلْ,,,0.0
مُوتُوا,موتوا,,,مفعول,اسم,1.2000000000000002
بِغَيْظِكُمْ,بغيظكم,,,فعيل,اسم,1.0
,ان,حرف,إِنَّ,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
,None,اسم,عَلِيمٌ,,,0.0
بِذَاتِ,بذات,,,مفاعل,اسم,1.0
الصُّدُورِ,الصدور,اسم,الصُّدُورِ,,,0.0
,ان,حرف,إِنْ,,,0.0
تَمْسَسْكُمْ,تمسسكم,,,تَفَعَّل,فعل,1.0
,None,اسم,حَسَنَةٌ,,,0.0
تَسُؤْهُمْ,تسوهم,,,تَفَعَّل,فعل,1.0
,وان,حرف,وَإِنْ,,,0.0
تُصِبْكُمْ,تصبكم,,,تَفَعَّل,فعل,1.0
,None,اسم,سَيِّئَةٌ,,,0.0
يَفْرَحُوا,يفرحوا,,,تَفَعَّل,فعل,1.0
,بها,حرف_جر,بِهَا,,,0.0
,وان,اسم,وَإِنْ,,,0.0
تَصْبِرُوا,تصبروا,,,تَفَعَّل,فعل,1.0
وَتَتَّقُوا,وتتقوا,,,استفعال,اسم,0.6666666666666666
,لا,حرف,لَا,,,0.0
يَضُرُّكُمْ,يضركم,,,يفعل,فعل,1.0
كَيْدُهُمْ,كيدهم,,,,,0.0
,None,اسم,شَيْئًا,,,0.0
,ان,حرف,إِنَّ,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
,بما,حرف_جر,بِمَا,,,0.0
,يعملون,اسم,يَعْمَلُونَ,,,0.0
,None,اسم,مُحِيطٌ,,,0.0
,واذ,حرف,وَإِذْ,,,0.0
غَدَوْتَ,غدوت,,,فعول,اسم,1.1
,,فعل,مِنْ,,,0.0
أَهْلِكَ,اهلك,,,فعل,فعل,1.0
تُبَوِّئُ,تبوي,,,فعول,اسم,1.1
الْمُؤْمِنِينَ,المومنين,اسم,الْمُؤْمِنِينَ,,,0.0
مَقَاعِدَ,مقاعد,,,مفاعل,اسم,1.1
لِلْقِتَالِ,للقتال,,,,,0.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
,None,اسم,سَمِيعٌ,,,0.0
,None,اسم,عَلِيمٌ,,,0.0
,اذ,حرف,إِذْ,,,0.0
هَمَّتْ,همت,,,افتعل,فعل,1.0
طَائِفَتَانِ,طايفتان,,,,,0.0
,منكم,حرف_جر,مِنْكُمْ,,,0.0
,ان,اسم,أَنْ,,,0.0
تَفْشَلَا,تفشلا,,,تَفَعَّل,فعل,1.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
وَلِيُّهُمَا,وليهما,,,,,0.0
,وعلي,حرف_جر,وَعَلَى,,,0.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
فَلْيَتَوَكَّلِ,فليتوكل,,,فعيل,اسم,0.6666666666666666
الْمُؤْمِنُونَ,المومنون,اسم,الْمُؤْمِنُونَ,,,0.0
وَلَقَدْ,ولقد,,,,,0.0
نَصَرَكُمُ,نصركم,,,نفعل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,None,اسم,بِبَدْرٍ,,,0.0
,وانتم,حرف,وَأَنْتُمْ,,,0.0
,None,اسم,أَذِلَّةٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
لَعَلَّكُمْ,لعلكم,,,فعل,فعل,1.0
تَشْكُرُونَ,تشكرون,,,تَفَعَّل,فعل,1.0
,اذ,حرف,إِذْ,,,0.0
تَقُولُ,تقول,,,فعول,اسم,1.1
لِلْمُؤْمِنِينَ,للمومنين,,,,,0.0
أَلَنْ,الن,,,,,0.0
يَكْفِيَكُمْ,يكفيكم,,,انفعل,فعل,1.0
,ان,حرف,أَنْ,,,0.0
يُمِدَّكُمْ,يمدكم,,,يفعل,فعل,1.0
رَبُّكُمْ,ربكم,,,,,0.0
بِثَلَاثَةِ,بثلاثه,,,فعل,فعل,1.0
,None,اسم,آلَافٍ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمَلَائِكَةِ,الملايكه,اسم,الْمَلَائِكَةِ,تَفَعَّل,فعل,1.0
مُنْزَلِينَ,منزلين,,,مفعل,اسم,1.1
,بلي,حرف,بَلَىٰ,,,0.0
,ان,حرف,إِنْ,,,0.0
تَصْبِرُوا,تصبروا,,,تَفَعَّل,فعل,1.0
وَتَتَّقُوا,وتتقوا,,,استفعال,اسم,0.6666666666666666
وَيَأْتُوكُمْ,وياتوكم,,,,,0.0
,,فعل,مِنْ,,,0.0
فَوْرِهِمْ,فورهم,,,فعل,فعل,1.0
هَٰذَا,,اسم,هذا,فعلان,اسم,1.0
يُمْدِدْكُمْ,يمددكم,,,يفعل,فعل,1.0
رَبُّكُمْ,ربكم,,,,,0.0
بِخَمْسَةِ,بخمسه,,,فعيلة,اسم,1.0
,None,اسم,آلَافٍ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمَلَائِكَةِ,الملايكه,اسم,الْمَلَائِكَةِ,تَفَعَّل,فعل,1.0
مُسَوِّمِينَ,مسومين,,,مفعل,اسم,1.1
,وما,حرف,وَمَا,,,0.0
جَعَلَهُ,جعله,,,فعل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,الا,حرف,إِلَّا,,,0.0
بُشْرَىٰ,بشري,,,فعلى,اسم,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,ولتطمين,اسم,وَلِتَطْمَئِنَّ,,,0.0
قُلُوبُكُمْ,قلوبكم,,,فعول,اسم,0.6
,به,حرف_جر,بِهِ,,,0.0
,وما,اسم,وَمَا,,,0.0
النَّصْرُ,النصر,اسم,النَّصْرُ,,,0.0
,الا,حرف,إِلَّا,,,0.0
,,فعل,مِنْ,,,0.0
عِنْدِ,,اسم,عند,,,0.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
الْعَزِيزِ,,اسم,الْعَزِيزِ,افعلّ,فعل,0.6666666666666666
الْحَكِيمِ,,اسم,الْحَكِيمِ,,,0.0
لِيَقْطَعَ,ليقطع,,,,,0.0
,None,اسم,طَرَفًا,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
كَفَرُوا,كفروا,,,مفعول,اسم,1.1
,او,حرف,أَوْ,,,0.0
يَكْبِتَهُمْ,يكبتهم,,,يفعل,فعل,1.0
فَيَنْقَلِبُوا,فينقلبوا,,,فعائل,اسم,0.6666666666666666
خَائِبِينَ,خايبين,,,فاعَل,فعل,1.0
,ليس,حرف,لَيْسَ,,,0.0
,لك,حرف_جر,لَكَ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْأَمْرِ,الامر,اسم,الْأَمْرِ,,,0.0
,None,اسم,شَيْءٌ,,,0.0
,او,حرف,أَوْ,,,0.0
يَتُوبَ,يتوب,,,فعول,اسم,1.1
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,او,اسم,أَوْ,,,0.0
يُعَذِّبَهُمْ,يعذبهم,,,فعل,فعل,1.0
فَإِنَّهُمْ,فانهم,,,فعل,فعل,1.0
ظَالِمُونَ,ظالمون,,,فعل,فعل,1.0
وَلِلَّهِ,,اسم,ولله,فعل,فعل,1.0
مَا,,اسم,ما,مفعل,اسم,1.1
,في,حرف_جر,فِي,,,0.0
,السماوات,اسم,السَّمَاوَاتِ,,,0.0
,وما,حرف,وَمَا,,,0.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
,يغفر,فعل,,,,0.0
,لمن,حرف_جر,لِمَنْ,,,0.0
,يشاء,اسم,يَشَاءُ,,,0.0
وَيُعَذِّبُ,ويعذب,,,فاعَل,فعل,1.0
,,فعل,مَنْ,,,0.0
يَشَاءُ,يشاء,,,تَفاعَل,فعل,1.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
,None,اسم,غَفُورٌ,,,0.0
,None,اسم,رَحِيمٌ,,,0.0
,يا,حرف,يَا,,,0.0
,ايها,حرف,أَيُّهَا,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
,لا,حرف,لَا,,,0.0
تَأْكُلُوا,تاكلوا,,,تَفَعَّل,فعل,1.0
الرِّبَا,,اسم,الرِّبَا,افتعال,اسم,0.6666666666666666
,None,اسم,أَضْعَافًا,,,0.0
,None,اسم,مُضَاعَفَةً,,,0.0
وَاتَّقُوا,واتقوا,,,فاعَل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
لَعَلَّكُمْ,لعلكم,,,فعل,فعل,1.0
تُفْلِحُونَ,تفلحون,,,تَفَعَّل,فعل,0.6666666666666666
وَاتَّقُوا,واتقوا,,,فاعَل,فعل,1.0
النَّارَ,النار,اسم,النَّارَ,,,0.0
الَّتِي,,اسم,الَّتِي,افتعل,فعل,0.6666666666666666
أُعِدَّتْ,اعدت,,,فعل,فعل,1.0
لِلْكَافِرِينَ,للكافرين,,,,,0.0
وَأَطِيعُوا,واطيعوا,,,,,0.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَالرَّسُولَ,والرسول,,,فعل,فعل,1.0
لَعَلَّكُمْ,لعلكم,,,فعل,فعل,1.0
تُرْحَمُونَ,ترحمون,,,تَفَعَّل,فعل,1.0
وَسَارِعُوا,وسارعوا,,,استفعل,فعل,0.6666666666666666
إِلَىٰ,الي,,,,,0.0
,None,اسم,مَغْفِرَةٍ,,,0.0
,,فعل,مِنْ,,,0.0
رَبِّكُمْ,ربكم,,,,,0.0
,None,اسم,وَجَنَّةٍ,,,0.0
عَرْضُهَا,عرضها,,,,,0.0
السَّمَاوَاتُ,السماوات,اسم,السَّمَاوَاتُ,,,0.0
وَالْأَرْضُ,والارض,,,فعل,فعل,1.0
أُعِدَّتْ,اعدت,,,فعل,فعل,1.0
لِلْمُتَّقِينَ,للمتقين,,,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
يُنْفِقُونَ,ينفقون,,,انفعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,السراء,اسم,السَّرَّاءِ,,,0.0
وَالضَّرَّاءِ,والضراء,,,فعل,فعل,1.0
وَالْكَاظِمِينَ,والكاظمين,,,فعل,فعل,1.0
الْغَيْظَ,الغيظ,اسم,الْغَيْظَ,,,0.0
وَالْعَافِينَ,والعافين,,,,,0.0
,عن,حرف_جر,عَنِ,,,0.0
,الناس,اسم,النَّاسِ,,,0.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
يُحِبُّ,يحب,,,يفعل,فعل,1.0
الْمُحْسِنِينَ,المحسنين,اسم,الْمُحْسِنِينَ,,,0.0
وَالَّذِينَ,,اسم,والذين,فعل,فعل,1.0
إِذَا,اذا,,,تَفاعَل,فعل,1.0
فَعَلُوا,فعلوا,,,فعل,فعل,1.0
,None,اسم,فَاحِشَةً,,,0.0
,او,حرف,أَوْ,,,0.0
ظَلَمُوا,ظلموا,,,,,0.0
أَنْفُسَهُمْ,انفسهم,,,انفعل,فعل,1.0
ذَكَرُوا,ذكروا,,,مفعول,اسم,1.1
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
فَاسْتَغْفَرُوا,فاستغفروا,,,فعل,فعل,1.0
لِذُنُوبِهِمْ,لذنوبهم,,,,,0.0
,ومن,حرف_جر,وَمَنْ,,,0.0
,يغفر,اسم,يَغْفِرُ,,,0.0
الذُّنُوبَ,الذنوب,اسم,الذُّنُوبَ,,,0.0
,الا,حرف,إِلَّا,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
,ولم,حرف,وَلَمْ,,,0.0
يُصِرُّوا,يصروا,,,مفعول,اسم,1.1
,علي,حرف_جر,عَلَىٰ,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
فَعَلُوا,فعلوا,,,فعل,فعل,1.0
,وهم,حرف,وَهُمْ,,,0.0
يَعْلَمُونَ,يعلمون,,,فعل,فعل,1.0
أُولَٰئِكَ,,اسم,اوليك,فعل,فعل,1.0
جَزَاؤُهُمْ,جزاوهم,,,تَفاعَل,فعل,1.0
,None,اسم,مَغْفِرَةٌ,,,0.0
,,فعل,مِنْ,,,0.0
رَبِّهِمْ,ربهم,,,,,0.0
,None,اسم,وَجَنَّاتٌ,,,0.0
تَجْرِي,تجري,,,تَفَعَّل,فعل,1.0
,,فعل,مِنْ,,,0.0
تَحْتِهَا,تحتها,,,تَفَعَّل,فعل,1.0
الْأَنْهَارُ,الانهار,اسم,الْأَنْهَارُ,استفعال,اسم,0.6666666666666666
خَالِدِينَ,خالدين,,,فعل,فعل,1.0
,فيها,حرف_جر,فِيهَا,,,0.0
,ونعم,اسم,وَنِعْمَ,,,0.0
أَجْرُ,اجر,,,أفعال,اسم,1.0
الْعَامِلِينَ,العاملين,اسم,الْعَامِلِينَ,افعلّ,فعل,0.6666666666666666
,قد,حرف,قَدْ,,,0.0
خَلَتْ,خلت,,,,,0.0
,,فعل,مِنْ,,,0.0
قَبْلِكُمْ,قبلكم,,,فعل,فعل,1.0
,None,اسم,سُنَنٌ,,,0.0
فَسِيرُوا,فسيروا,,,فعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
فَانْظُرُوا,فانظروا,,,فعل,فعل,1.0
كَيْفَ,,اسم,كيف,انفعل,فعل,1.0
,كان,فعل,,,,0.0
عَاقِبَةُ,عاقبه,,,,,0.0
الْمُكَذِّبِينَ,المكذبين,اسم,الْمُكَذِّبِينَ,,,0.0
هَٰذَا,,اسم,هذا,فعلان,اسم,1.0
,None,اسم,بَيَانٌ,,,0.0
لِلنَّاسِ,للناس,,,,,0.0
وَهُدًى,وهدي,,,فعلى,اسم,1.0
,None,اسم,وَمَوْعِظَةٌ,,,0.0
لِلْمُتَّقِينَ,للمتقين,,,,,0.0
,ولا,حرف,وَلَا,,,0.0
تَهِنُوا,تهنوا,,,مفعول,اسم,1.1
,ولا,حرف,وَلَا,,,0.0
تَحْزَنُوا,تحزنوا,,,تَفَعَّل,فعل,1.0
وَأَنْتُمُ,وانتم,,,,,0.0
الْأَعْلَوْنَ,الاعلون,اسم,الْأَعْلَوْنَ,افتعل,فعل,1.0
,ان,حرف,إِنْ,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,ان,حرف,إِنْ,,,0.0
يَمْسَسْكُمْ,يمسسكم,,,يفعل,فعل,1.0
,None,اسم,قَرْحٌ,,,0.0
فَقَدْ,فقد,,,فعل,فعل,1.0
,مس,فعل,,,,0.0
الْقَوْمَ,القوم,اسم,الْقَوْمَ,,,0.0
,None,اسم,قَرْحٌ,,,0.0
مِثْلُهُ,مثله,,,فعل,فعل,1.0
وَتِلْكَ,,اسم,وتلك,فعل,فعل,1.0
الْأَيَّامُ,الايام,اسم,الْأَيَّامُ,افتعال,اسم,0.6666666666666666
نُدَاوِلُهَا,نداولها,,,مفعول,اسم,1.1
بَيْنَ,,اسم,بين,,,0.0
النَّاسِ,الناس,اسم,النَّاسِ,,,0.0
وَلِيَعْلَمَ,وليعلم,,,تَفاعَل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
وَيَتَّخِذَ,ويتخذ,,,افتعل,فعل,1.0
,منكم,حرف_جر,مِنْكُمْ,,,0.0
,شهداء,اسم,شُهَدَاءَ,,,0.0
وَاللَّهُ,والله,,,لفظ_الجلالة,اسم,1.0
,لا,حرف,لَا,,,0.0
يُحِبُّ,يحب,,,يفعل,فعل,1.0
الظَّالِمِينَ,الظالمين,اسم,الظَّالِمِينَ,افتعل,فعل,1.0
وَلِيُمَحِّصَ,وليمحص,,,,,0.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
آمَنُوا,امنوا,,,مفعول,اسم,0.6
وَيَمْحَقَ,ويمحق,,,,,0.0
الْكَافِرِينَ,الكافرين,اسم,الْكَافِرِينَ,,,0.0
,ام,حرف,أَمْ,,,0.0
حَسِبْتُمْ,حسبتم,,,,,0.0
,ان,حرف,أَنْ,,,0.0
تَدْخُلُوا,تدخلوا,,,تَفَعَّل,فعل,1.0
الْجَنَّةَ,الجنه,اسم,الْجَنَّةَ,,,0.0
,ولما,حرف,وَلَمَّا,,,0.0
يَعْلَمِ,يعلم,,,فعل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
جَاهَدُوا,جاهدوا,,,فاعَل,فعل,1.0
,منكم,حرف_جر,مِنْكُمْ,,,0.0
,ويعلم,اسم,وَيَعْلَمَ,,,0.0
الصَّابِرِينَ,الصابرين,اسم,الصَّابِرِينَ,,,0.0
وَلَقَدْ,ولقد,,,,,0.0
كُنْتُمْ,كنتم,,,انفعل,فعل,1.0
تَمَنَّوْنَ,تمنون,,,تَفَعَّل,فعل,1.0
الْمَوْتَ,الموت,اسم,الْمَوْتَ,,,0.0
,,فعل,مِنْ,,,0.0
قَبْلِ,قبل,,,فعل,فعل,1.0
,ان,حرف,أَنْ,,,0.0
تَلْقَوْهُ,تلقوه,,,مفعول,اسم,0.6
فَقَدْ,فقد,,,فعل,فعل,1.0
رَأَيْتُمُوهُ,رايتموه,,,فعيل,اسم,1.0
,وانتم,حرف,وَأَنْتُمْ,,,0.0
تَنْظُرُونَ,تنظرون,,,تَفَعَّل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
,None,اسم,مُحَمَّدٌ,,,0.0
,الا,حرف,إِلَّا,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,قد,حرف,قَدْ,,,0.0
خَلَتْ,خلت,,,,,0.0
,,فعل,مِنْ,,,0.0
قَبْلِهِ,قبله,,,فعل,فعل,1.0
الرُّسُلُ,الرسل,اسم,الرُّسُلُ,انفعل,فعل,1.0
أَفَإِنْ,افان,,,تَفَعَّل,فعل,1.0
,مات,فعل,,,,0.0
,او,حرف,أَوْ,,,0.0
قُتِلَ,قتل,,,فعل,فعل,1.0
انْقَلَبْتُمْ,انقلبتم,,,افعلّ,فعل,1.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,اعقابكم,اسم,أَعْقَابِكُمْ,,,0.0
,ومن,حرف_جر,وَمَنْ,,,0.0
,ينقلب,اسم,يَنْقَلِبْ,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,عقبيه,اسم,عَقِبَيْهِ,,,0.0
,فلن,حرف,فَلَنْ,,,0.0
يَضُرَّ,يضر,,,يفعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
,None,اسم,شَيْئًا,,,0.0
وَسَيَجْزِي,وسيجزي,,,استفعل,فعل,1.0
اللَّهُ,,اسم,اللَّهُ,لفظ_الجلالة,اسم,1.0
الشَّاكِرِينَ,الشاكرين,اسم,الشَّاكِرِينَ,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
,None,اسم,لِنَفْسٍ,,,0.0
,ان,حرف,أَنْ,,,0.0
تَمُوتَ,تموت,,,فعول,اسم,1.1
,الا,حرف,إِلَّا,,,0.0
بِإِذْنِ,باذن,,,,,0.0
اللَّهِ,,اسم,اللَّهِ,لفظ_الجلالة,اسم,1.0
,None,اسم,كِتَابًا,,,0.0
,None,اسم,مُؤَجَّلًا,,,0.0
,ومن,حرف_جر,وَمَنْ,,,0.0
,يرد,اسم,يُرِدْ,,,0.0
ثَوَابَ,ثواب,,,تَفاعَل,فعل,1.0
الدُّنْيَا,الدنيا,اسم,الدُّنْيَا,استفعال,اسم,0.6666666666666666
نُؤْتِهِ,نوته,,,افتعل,فعل,1.0
,منها,حرف_جر,مِنْهَا,,,0.0
,ومن,اسم,وَمَنْ,,,0.0
يُرِدْ,يرد,,,يفعل,فعل,1.0
ثَوَابَ,ثواب,,,تَفاعَل,فعل,1.0
الْآخِرَةِ,الاخره,اسم,الْآخِرَةِ,,,0.0
نُؤْتِهِ,نوته,,,افتعل,فعل,1.0
,منها,حرف_جر,مِنْهَا,,,0.0
,وسنجزي,اسم,وَسَنَجْزِي,,,0.0
الشَّاكِرِينَ,الشاكرين,اسم,الشَّاكِرِينَ,,,0.0
وَكَأَيِّنْ,وكاين,,,تفعيل,فعل,1.0
,,فعل,مِنْ,,,0.0
,None,اسم,نَبِيٍّ,,,0.0
قَاتَلَ,قاتل,,,فاعَل,فعل,1.0
